[15:34:31] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[15:34:31] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[15:34:31] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[15:34:31] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[15:34:31] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[15:34:31] [Server thread/INFO]: Starting minecraft server version 1.14
[15:34:31] [Server thread/INFO]: Loading properties
[15:34:31] [Server thread/INFO]: Default game type: SURVIVAL
[15:34:31] [Server thread/INFO]: Generating keypair
[15:34:32] [Server thread/INFO]: Starting Minecraft server on *:25565
[15:34:32] [Server thread/INFO]: Using epoll channel type
[15:34:32] [Server thread/INFO]: Preparing level "world"
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:42] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:44] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:44] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:44] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:45] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[15:35:45] [Server-Worker-1/INFO]: Preparing spawn area: 1%
[15:35:46] [Server-Worker-1/INFO]: Preparing spawn area: 3%
[15:35:46] [Server-Worker-1/INFO]: Preparing spawn area: 4%
[15:35:47] [Server-Worker-1/INFO]: Preparing spawn area: 5%
[15:35:47] [Server-Worker-1/INFO]: Preparing spawn area: 6%
[15:35:48] [Server-Worker-1/INFO]: Preparing spawn area: 8%
[15:35:48] [Server-Worker-1/INFO]: Preparing spawn area: 9%
[15:35:48] [Server-Worker-1/INFO]: Preparing spawn area: 10%
[15:35:49] [Server-Worker-1/INFO]: Preparing spawn area: 10%
[15:35:50] [Server-Worker-1/INFO]: Preparing spawn area: 12%
[15:35:50] [Server-Worker-1/INFO]: Preparing spawn area: 12%
[15:35:51] [Server-Worker-1/INFO]: Preparing spawn area: 15%
[15:35:51] [Server-Worker-1/INFO]: Preparing spawn area: 16%
[15:35:52] [Server-Worker-1/INFO]: Preparing spawn area: 17%
[15:35:53] [Server-Worker-1/INFO]: Preparing spawn area: 18%
[15:35:53] [Server-Worker-1/INFO]: Preparing spawn area: 18%
[15:35:53] [Server-Worker-1/INFO]: Preparing spawn area: 18%
[15:35:54] [Server-Worker-1/INFO]: Preparing spawn area: 23%
[15:35:54] [Server-Worker-1/INFO]: Preparing spawn area: 23%
[15:35:55] [Server-Worker-1/INFO]: Preparing spawn area: 25%
[15:35:56] [Server-Worker-1/INFO]: Preparing spawn area: 27%
[15:35:56] [Server-Worker-1/INFO]: Preparing spawn area: 27%
[15:35:56] [Server-Worker-1/INFO]: Preparing spawn area: 27%
[15:35:57] [Server-Worker-1/INFO]: Preparing spawn area: 31%
[15:35:57] [Server-Worker-1/INFO]: Preparing spawn area: 32%
[15:35:58] [Server-Worker-1/INFO]: Preparing spawn area: 34%
[15:35:59] [Server-Worker-1/INFO]: Preparing spawn area: 37%
[15:35:59] [Server-Worker-1/INFO]: Preparing spawn area: 37%
[15:35:59] [Server-Worker-1/INFO]: Preparing spawn area: 37%
[15:36:00] [Server-Worker-1/INFO]: Preparing spawn area: 42%
[15:36:01] [Server-Worker-1/INFO]: Preparing spawn area: 43%
[15:36:01] [Server-Worker-1/INFO]: Preparing spawn area: 43%
[15:36:01] [Server-Worker-1/INFO]: Preparing spawn area: 43%
[15:36:02] [Server-Worker-1/INFO]: Preparing spawn area: 50%
[15:36:02] [Server-Worker-1/INFO]: Preparing spawn area: 50%
[15:36:02] [Server-Worker-1/INFO]: Preparing spawn area: 53%
[15:36:03] [Server-Worker-1/INFO]: Preparing spawn area: 55%
[15:36:04] [Server-Worker-1/INFO]: Preparing spawn area: 56%
[15:36:12] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[15:36:12] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[15:36:12] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[15:36:12] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[15:36:12] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[15:36:12] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[15:36:12] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[15:36:12] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[15:36:12] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[15:36:12] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[15:36:12] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[15:36:12] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[15:36:12] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[15:36:12] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[15:36:12] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[15:36:12] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[15:36:12] [Server-Worker-1/INFO]: Preparing spawn area: 58%
[15:36:13] [Server-Worker-1/INFO]: Preparing spawn area: 100%
[15:36:13] [Server-Worker-1/INFO]: Preparing spawn area: 100%
[15:36:15] [Server-Worker-1/INFO]: Preparing spawn area: 100%
[15:36:15] [Server-Worker-1/INFO]: Preparing spawn area: 100%
[15:36:15] [Server-Worker-1/INFO]: Preparing spawn area: 100%
[15:36:15] [Server-Worker-1/INFO]: Preparing spawn area: 100%
[15:36:15] [Server thread/INFO]: Time elapsed: 93784 ms
[15:36:15] [Server thread/INFO]: Done (103.244s)! For help, type "help"
[15:36:20] [Server thread/INFO]: /advancement (grant|revoke)
[15:36:20] [Server thread/INFO]: /ban <targets> [<reason>]
[15:36:20] [Server thread/INFO]: /ban-ip <target> [<reason>]
[15:36:20] [Server thread/INFO]: /banlist [ips|players]
[15:36:20] [Server thread/INFO]: /bossbar (add|get|list|remove|set)
[15:36:20] [Server thread/INFO]: /clear [<targets>]
[15:36:20] [Server thread/INFO]: /clone <begin> <end> <destination> [filtered|masked|replace]
[15:36:20] [Server thread/INFO]: /data (get|merge|modify|remove)
[15:36:20] [Server thread/INFO]: /datapack (disable|enable|list)
[15:36:20] [Server thread/INFO]: /debug (start|stop)
[15:36:20] [Server thread/INFO]: /defaultgamemode (adventure|creative|spectator|survival)
[15:36:20] [Server thread/INFO]: /deop <targets>
[15:36:20] [Server thread/INFO]: /difficulty [easy|hard|normal|peaceful]
[15:36:20] [Server thread/INFO]: /effect (clear|give)
[15:36:20] [Server thread/INFO]: /enchant <targets> <enchantment> [<level>]
[15:36:20] [Server thread/INFO]: /execute (align|anchored|as|at|facing|if|in|positioned|rotated|run|store|unless)
[15:36:20] [Server thread/INFO]: /experience (add|query|set)
[15:36:20] [Server thread/INFO]: /fill <from> <to> <block> [destroy|hollow|keep|outline|replace]
[15:36:20] [Server thread/INFO]: /forceload (add|query|remove)
[15:36:20] [Server thread/INFO]: /function <name>
[15:36:20] [Server thread/INFO]: /gamemode (adventure|creative|spectator|survival)
[15:36:20] [Server thread/INFO]: /gamerule (announceAdvancements|commandBlockOutput|disableElytraMovementCheck|doDaylightCycle|doEntityDrops|doFireTick|doLimitedCrafting|doMobLoot|doMobSpawning|doTileDrops|doWeatherCycle|keepInventory|logAdminCommands|maxCommandChainLength|maxEntityCramming|mobGriefing|naturalRegeneration|randomTickSpeed|reducedDebugInfo|sendCommandFeedback|showDeathMessages|spawnRadius|spectatorsGenerateChunks)
[15:36:20] [Server thread/INFO]: /give <targets> <item> [<count>]
[15:36:20] [Server thread/INFO]: /help [<command>]
[15:36:20] [Server thread/INFO]: /kick <targets> [<reason>]
[15:36:20] [Server thread/INFO]: /kill <targets>
[15:36:20] [Server thread/INFO]: /list [uuids]
[15:36:20] [Server thread/INFO]: /locate (Buried_Treasure|Desert_Pyramid|EndCity|Fortress|Igloo|Jungle_Pyramid|Mansion|Mineshaft|Monument|Ocean_Ruin|Pillager_Outpost|Shipwreck|Stronghold|Swamp_Hut|Village)
[15:36:20] [Server thread/INFO]: /loot (give|insert|replace|spawn)
[15:36:20] [Server thread/INFO]: /me <action>
[15:36:20] [Server thread/INFO]: /msg <targets> <message>
[15:36:20] [Server thread/INFO]: /op <targets>
[15:36:20] [Server thread/INFO]: /pardon <targets>
[15:36:20] [Server thread/INFO]: /pardon-ip <target>
[15:36:20] [Server thread/INFO]: /particle <name> [<pos>]
[15:36:20] [Server thread/INFO]: /playsound <sound> (ambient|block|hostile|master|music|neutral|player|record|voice|weather)
[15:36:20] [Server thread/INFO]: /recipe (give|take)
[15:36:20] [Server thread/INFO]: /reload
[15:36:20] [Server thread/INFO]: /replaceitem (block|entity)
[15:36:20] [Server thread/INFO]: /save-all [flush]
[15:36:20] [Server thread/INFO]: /save-off
[15:36:20] [Server thread/INFO]: /save-on
[15:36:20] [Server thread/INFO]: /say <message>
[15:36:20] [Server thread/INFO]: /schedule function <function> <time>
[15:36:20] [Server thread/INFO]: /scoreboard (objectives|players)
[15:36:20] [Server thread/INFO]: /seed
[15:36:20] [Server thread/INFO]: /setblock <pos> <block> [destroy|keep|replace]
[15:36:20] [Server thread/INFO]: /setidletimeout <minutes>
[15:36:20] [Server thread/INFO]: /setworldspawn [<pos>]
[15:36:20] [Server thread/INFO]: /spawnpoint [<targets>]
[15:36:20] [Server thread/INFO]: /spreadplayers <center> <spreadDistance> <maxRange> <respectTeams> <targets>
[15:36:20] [Server thread/INFO]: /stop
[15:36:20] [Server thread/INFO]: /stopsound <targets> [*|ambient|block|hostile|master|music|neutral|player|record|voice|weather]
[15:36:20] [Server thread/INFO]: /summon <entity> [<pos>]
[15:36:20] [Server thread/INFO]: /tag <targets> (add|list|remove)
[15:36:20] [Server thread/INFO]: /team (add|empty|join|leave|list|modify|remove)
[15:36:20] [Server thread/INFO]: /teammsg <message>
[15:36:20] [Server thread/INFO]: /teleport (<destination>|<location>|<targets>)
[15:36:20] [Server thread/INFO]: /tell -> msg
[15:36:20] [Server thread/INFO]: /tellraw <targets> <message>
[15:36:20] [Server thread/INFO]: /time (add|query|set)
[15:36:20] [Server thread/INFO]: /title <targets> (actionbar|clear|reset|subtitle|times|title)
[15:36:20] [Server thread/INFO]: /tm -> teammsg
[15:36:20] [Server thread/INFO]: /tp -> teleport
[15:36:20] [Server thread/INFO]: /trigger <objective> [add|set]
[15:36:20] [Server thread/INFO]: /w -> msg
[15:36:20] [Server thread/INFO]: /weather (clear|rain|thunder)
[15:36:20] [Server thread/INFO]: /whitelist (add|list|off|on|reload|remove)
[15:36:20] [Server thread/INFO]: /worldborder (add|center|damage|get|set|warning)
[15:36:20] [Server thread/INFO]: /xp -> experience
[15:36:31] [User Authenticator #1/INFO]: UUID of player d3lf1 is 1f8acec0-772c-4544-84ad-4104723466ce
[15:36:31] [Server thread/WARN]: Ignored advancement 'minecraft:recipes/decorations/sign' in progress file ./world/advancements/1f8acec0-772c-4544-84ad-4104723466ce.json - it doesn't exist anymore?
[15:36:31] [Server thread/WARN]: Ignored advancement 'minecraft:recipes/misc/light_blue_dye_from_lapis_bonemeal' in progress file ./world/advancements/1f8acec0-772c-4544-84ad-4104723466ce.json - it doesn't exist anymore?
[15:36:31] [Server thread/WARN]: Ignored advancement 'minecraft:recipes/misc/magenta_dye_from_lapis_ink_bonemeal' in progress file ./world/advancements/1f8acec0-772c-4544-84ad-4104723466ce.json - it doesn't exist anymore?
[15:36:31] [Server thread/WARN]: Ignored advancement 'minecraft:recipes/misc/light_gray_dye_from_gray_bonemeal' in progress file ./world/advancements/1f8acec0-772c-4544-84ad-4104723466ce.json - it doesn't exist anymore?
[15:36:31] [Server thread/WARN]: Ignored advancement 'minecraft:recipes/misc/light_gray_dye_from_ink_bonemeal' in progress file ./world/advancements/1f8acec0-772c-4544-84ad-4104723466ce.json - it doesn't exist anymore?
[15:36:31] [Server thread/WARN]: Ignored advancement 'minecraft:recipes/misc/pink_dye_from_red_bonemeal' in progress file ./world/advancements/1f8acec0-772c-4544-84ad-4104723466ce.json - it doesn't exist anymore?
[15:36:31] [Server thread/WARN]: Ignored advancement 'minecraft:recipes/misc/cactus_green' in progress file ./world/advancements/1f8acec0-772c-4544-84ad-4104723466ce.json - it doesn't exist anymore?
[15:36:32] [Server thread/ERROR]: Tried to load unrecognized recipe: minecraft:light_gray_dye_from_ink_bonemeal removed now.
[15:36:32] [Server thread/ERROR]: Tried to load unrecognized recipe: minecraft:cactus_green removed now.
[15:36:32] [Server thread/ERROR]: Tried to load unrecognized recipe: minecraft:light_gray_dye_from_gray_bonemeal removed now.
[15:36:32] [Server thread/ERROR]: Tried to load unrecognized recipe: minecraft:light_blue_dye_from_lapis_bonemeal removed now.
[15:36:32] [Server thread/ERROR]: Tried to load unrecognized recipe: minecraft:sign removed now.
[15:36:32] [Server thread/ERROR]: Tried to load unrecognized recipe: minecraft:pink_dye_from_red_bonemeal removed now.
[15:36:32] [Server thread/ERROR]: Tried to load unrecognized recipe: minecraft:magenta_dye_from_lapis_ink_bonemeal removed now.
[15:36:32] [Server thread/ERROR]: Tried to load unrecognized recipe: minecraft:cactus_green removed now.
[15:36:32] [Server thread/INFO]: d3lf1[/175.159.122.39:5204] logged in with entity id 849 at (11.261573457282314, 64.0, 169.74358368063773)
[15:36:32] [Server thread/INFO]: d3lf1 joined the game
[15:36:39] [Server thread/INFO]: d3lf1 lost connection: Disconnected
[15:36:39] [Server thread/INFO]: d3lf1 left the game
[15:36:54] [User Authenticator #2/INFO]: UUID of player d3lf1 is 1f8acec0-772c-4544-84ad-4104723466ce
[15:36:54] [Server thread/INFO]: d3lf1[/175.159.122.39:17964] logged in with entity id 861 at (11.261573457282314, 64.0, 169.74358368063773)
[15:36:54] [Server thread/INFO]: d3lf1 joined the game
[15:40:02] [Server thread/INFO]: com.mojang.authlib.GameProfile@42c0daf5[id=<null>,name=lllooolll,properties={},legacy=false] (/130.126.255.12:61642) lost connection: Disconnected
[15:40:10] [Server thread/INFO]: com.mojang.authlib.GameProfile@23491809[id=<null>,name=lllooolll,properties={},legacy=false] (/130.126.255.12:46475) lost connection: Disconnected
[15:49:39] [Server thread/INFO]: d3lf1 lost connection: Disconnected
[15:49:39] [Server thread/INFO]: d3lf1 left the game
[15:50:09] [Server thread/INFO]: Stopping the server
[15:50:09] [Server thread/INFO]: Stopping server
[15:50:09] [Server thread/INFO]: Saving players
[15:50:09] [Server thread/INFO]: Saving worlds
[15:50:09] [Server thread/INFO]: Saving chunks for level 'world'/minecraft:the_end
[15:50:09] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[15:50:09] [Server thread/INFO]: Saving chunks for level 'world'/minecraft:the_nether
[15:50:09] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[15:50:09] [Server thread/INFO]: Saving chunks for level 'world'/minecraft:overworld
[15:50:09] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[15:50:09] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[15:50:09] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[15:50:09] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[15:50:09] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[15:50:09] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[15:50:09] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
